model,question,found,answer_similarity,answer_correctness,faithfulness,article_recall,accuracy
Qwen,ما هي عقوبة الغش في بيع السلع؟,True,0.6897,0.3442,0.6221,0.6,0.5591
Qwen,هل يمكنني رفع شكوى ضد تاجر خدعني؟,True,0.5464,0.1626,0.2583,0.2,0.3217
Qwen,ما هي عقوبة إصدار شيك بدون رصيد؟,True,0.6691,0.4701,0.6471,0.6,0.5946
Qwen,هل عدم تسليم السلعة بعد الدفع يعتبر جريمة؟,True,0.7543,0.3636,0.3836,0.4,0.5098
Qwen,هل التزوير في الفواتير يعاقب عليه؟,True,0.715,0.2745,0.3367,0.8,0.5199
Qwen,ما عقوبة سرقة معدات من محل تجاري؟,True,0.6906,0.2903,0.3333,0.4,0.4555
Qwen,هل يمكن متابعة موظف سرق من الشركة؟,True,0.6448,0.2023,0.2857,0.0,0.3435
Qwen,ما هي عقوبة خيانة الأمانة في التجارة؟,True,0.5363,0.127,0.375,0.8,0.4208
Qwen,هل نشر معلومات كاذبة عن شركة جريمة؟,True,0.7366,0.3228,0.4309,0.4,0.5008
Qwen,هل يمكن معاقبة شخص على المنافسة غير الشريفة؟,True,0.6708,0.2286,0.3678,0.4,0.4369
Qwen,ما عقوبة التهديد في إطار العمل؟,True,0.6978,0.2657,0.48,1.0,0.5699
Qwen,هل الاحتيال الإلكتروني (online scam) جريمة؟,True,0.7428,0.1429,0.2787,0.25,0.3961
Qwen,ما هي عقوبة انتحال صفة شركة؟,True,0.8231,0.5774,0.6643,0.2,0.6242
Qwen,هل استغلال أموال الشركة بشكل غير قانوني جريمة؟,True,0.5638,0.3343,0.5294,0.2,0.4335
Qwen,هل يمكن سجن شخص بسبب ديون تجارية؟,True,0.7072,0.4444,0.5691,0.2,0.5247
Qwen,ما الفرق بين النصب وخيانة الأمانة؟,True,0.6148,0.4051,0.4591,0.8,0.5485
Qwen,هل يمكن متابعة شريك تجاري جزائياً؟,True,0.5975,0.2328,0.3403,0.2,0.377
Qwen,ما هي الجرائم المرتبطة بالإفلاس؟,True,0.7158,0.4571,0.5857,0.6,0.5948
Qwen,هل إخفاء الأرباح للتهرب الضريبي جريمة؟,True,0.7345,0.139,0.3095,0.0,0.3607
Qwen,ما عقوبة تزوير العقود التجارية؟,True,0.672,0.3419,0.4765,0.8,0.5531
Qwen,هل يمكن متابعة مورد لم يحترم العقد؟,True,0.6166,0.3558,0.4395,0.0,0.4104
Qwen,ما عقوبة بيع منتجات خطيرة أو فاسدة؟,True,0.7491,0.4727,0.6059,0.8,0.6452
Qwen,هل يمكن تقديم شكوى ضد شركة وهمية؟,True,0.7347,0.3289,0.3904,0.2,0.4639
Qwen,هل العقد الشفهي ملزم قانونياً؟,True,0.5135,0.1507,0.3421,0.0,0.2933
Qwen,كيف يمكن فسخ عقد بين طرفين؟,True,0.6408,0.5009,0.6264,0.6,0.5898
Qwen,ماذا يحدث إذا لم يلتزم أحد بالعقد؟,True,0.8495,0.4985,0.6573,0.6,0.6683
Qwen,هل يمكن المطالبة بالتعويض عن الضرر؟,True,0.7993,0.3024,0.4128,0.6,0.543
Qwen,ما هي شروط صحة العقد؟,True,0.7248,0.2442,0.2767,0.4,0.4423
Qwen,هل يمكن تعديل العقد بعد توقيعه؟,True,0.7785,0.2857,0.3789,0.5,0.509
Qwen,ماذا أفعل إذا لم يدفع لي الزبون؟,True,0.7289,0.3859,0.5473,0.4,0.5403
Qwen,هل يمكن إجبار الطرف الآخر على تنفيذ العقد؟,True,0.6678,0.3666,0.4632,0.8,0.5563
Qwen,ما هي المسؤولية المدنية؟,True,0.8603,0.293,0.4472,0.0,0.4784
Qwen,كيف يتم حساب التعويض؟,True,0.7775,0.2828,0.4293,0.6667,0.5428
Qwen,هل يمكن إلغاء عقد البيع؟,True,0.7864,0.3586,0.6,0.4,0.5628
Qwen,ما الفرق بين البطلان والفسخ؟,True,0.3749,0.3646,0.4467,0.2,0.3599
Qwen,هل يمكن استرجاع عربون؟,True,0.6632,0.5773,0.7,0.4,0.6053
Qwen,ماذا يحدث إذا تأخر التسليم؟,True,0.5989,0.3161,0.4263,0.4,0.4497
Qwen,هل العقد بدون توثيق قانوني صحيح؟,True,0.6901,0.2134,0.3673,0.2,0.409
Qwen,ما هي القوة القاهرة في العقود؟,True,0.7215,0.2824,0.5147,0.6,0.5302
Qwen,هل يمكن فسخ العقد بسبب الغش؟,True,0.828,0.3478,0.4037,0.4,0.5349
Qwen,كيف أثبت وجود اتفاق؟,True,0.8393,0.3315,0.4169,0.4,0.5366
Qwen,هل يمكن رفع دعوى بدون عقد مكتوب؟,True,0.6727,0.1679,0.3023,0.6,0.4363
Qwen,ما هي آجال التقادم في الديون؟,True,0.5701,0.2773,0.4634,0.4,0.4354
Qwen,ماذا أفعل إذا أخل المورد بالاتفاق؟,True,0.6911,0.1333,0.2456,0.2,0.361
Qwen,هل يمكن تحميل المسؤولية لشخص ثالث؟,True,0.755,0.343,0.4795,0.6,0.553
Qwen,ما هي شروط التعويض عن الضرر التجاري؟,True,0.7498,0.2813,0.4526,0.5,0.5123
Qwen,هل يمكن فسخ عقد الإيجار التجاري؟,True,0.5244,0.2093,0.4227,0.8,0.4509
Qwen,هل يمكن المطالبة بالفوائد على التأخير؟,True,0.5545,0.2294,0.2857,0.0,0.3201
Qwen,ماذا يحدث إذا توفي أحد أطراف العقد؟,True,0.7375,0.2807,0.4286,0.2,0.4581
Qwen,هل يمكن بيع شيء لا أملكه؟,True,0.6964,0.5882,0.6831,0.4,0.6168
Qwen,ما هي التزامات البائع؟,True,0.7973,0.5062,0.6596,0.8,0.6828
Qwen,ما هي التزامات المشتري؟,True,0.8839,0.4524,0.6171,0.6,0.6585
Qwen,كيف أحمي نفسي قانونياً في عقد؟,True,0.7939,0.2418,0.36,0.0,0.4224
Qwen,كيف أقدم طعن ضد قرار إداري؟,True,0.5198,0.5053,0.7513,0.6,0.5738
Qwen,لماذا تم رفض طلبي لفتح محل؟,True,0.589,0.1647,0.2752,0.4,0.3706
Qwen,كيف أتحصل على رخصة تجارية؟,True,0.4893,0.1548,0.4194,0.6,0.3916
Qwen,ما هي الإجراءات لفتح نشاط تجاري؟,True,0.7785,0.4901,0.5053,0.4,0.5806
Qwen,هل يمكن الطعن في غرامة إدارية؟,True,0.6597,0.1826,0.3548,0.4,0.4167
Qwen,ما هي حقوقي مع البلدية؟,True,0.5286,0.25,0.3468,0.6,0.4194
Qwen,كيف أتعامل مع تعسف الإدارة؟,True,0.7462,0.3463,0.475,0.0,0.4601
Qwen,ما هي الوثائق المطلوبة لفتح شركة؟,True,0.8779,0.4798,0.6111,0.6,0.6634
Qwen,هل يمكن مقاضاة إدارة عمومية؟,True,0.7623,0.4211,0.598,0.2,0.5427
Qwen,كم تستغرق الإجراءات الإدارية؟,True,0.6841,0.253,0.4667,0.2,0.4387
Qwen,كيف أستخرج سجل تجاري؟,True,0.804,0.5714,0.6526,0.4,0.6433
Qwen,ماذا أفعل إذا تأخرت الإدارة؟,True,0.6473,0.1683,0.2353,0.0,0.3241
Qwen,هل يمكن طلب تعويض من الدولة؟,True,0.7623,0.3779,0.4661,0.2,0.5034
Qwen,ما هي شروط ممارسة نشاط تجاري؟,True,0.8651,0.4075,0.5423,0.4,0.5935
Qwen,كيف أتعامل مع الضرائب المفروضة؟,True,0.4808,0.1262,0.4815,0.0,0.3024
Qwen,هل يمكن لصاحب العمل عدم دفع راتبي؟,True,0.7521,0.4716,0.629,0.5,0.6055
Qwen,ما هي حقوق العامل في الجزائر؟,True,0.6654,0.4247,0.5468,0.25,0.5072
Qwen,هل يمكن طردي بدون سبب؟,True,0.7308,0.4264,0.5643,0.2,0.5265
Qwen,ما هي مدة الإشعار قبل الاستقالة؟,True,0.7335,0.4925,0.6667,0.4,0.5978
Qwen,هل العقد الشفهي في العمل مقبول؟,True,0.7051,0.3333,0.5041,0.4,0.5076
Qwen,ماذا أفعل إذا لم أحصل على عقد؟,True,0.6084,0.2016,0.2976,0.2,0.3629
Qwen,هل يمكن العمل بدون تصريح؟,True,0.8099,0.3029,0.5041,0.4,0.5351
Qwen,ما هي ساعات العمل القانونية؟,True,0.8878,0.5036,0.6842,0.75,0.7111
Qwen,هل يحق لي عطلة مدفوعة؟,True,0.7136,0.5517,0.6256,0.8,0.6604
Qwen,ما هي حقوقي في حالة الفصل؟,True,0.4932,0.1137,0.1753,0.2,0.2718
Qwen,كيف أرفع دعوى ضد صاحب العمل؟,True,0.7035,0.2586,0.3468,0.6,0.4832
Qwen,هل يمكنني ترك العمل فوراً؟,True,0.6636,0.2436,0.4889,0.0,0.4031
Qwen,ما هي التعويضات عند الطرد؟,True,0.6007,0.1757,0.1991,0.6667,0.4028
Qwen,هل يمكن لصاحب العمل تغيير العقد؟,True,0.7656,0.3671,0.5,0.6,0.5681
Qwen,ما هي حقوق المرأة العاملة؟,True,0.8752,0.4221,0.4949,0.75,0.6444
Qwen,هل يمكن العمل في أكثر من وظيفة؟,True,0.6947,0.5143,0.4713,0.4,0.5517
Qwen,ماذا يحدث في حالة إصابة عمل؟,True,0.6788,0.102,0.3043,0.0,0.3291
Qwen,هل يمكن خصم الراتب بدون سبب؟,True,0.7499,0.4638,0.6269,0.4,0.587
Qwen,ما هي حقوق العامل في القطاع الخاص؟,True,0.8269,0.4079,0.5,0.75,0.6243
Qwen,هل يمكن رفض العمل الإضافي؟,True,0.9236,0.4186,0.5698,0.2,0.5928
Qwen,كيف يتم حساب الأجر؟,True,0.2423,0.434,0.5752,0.5,0.405
Qwen,هل يمكن فسخ عقد العمل؟,True,0.7948,0.5014,0.6709,0.4,0.6228
Qwen,ما هي أنواع عقود العمل؟,True,0.7955,0.3871,0.5,0.6,0.5846
Qwen,هل يمكن رفع شكوى لمفتشية العمل؟,True,0.486,0.0825,0.1905,0.6,0.3229
Qwen,ماذا أفعل إذا تعرضت للظلم في العمل؟,True,0.5138,0.2049,0.3306,0.0,0.3074
Qwen,كيف أفتح شركة في الجزائر؟,True,0.7783,0.3546,0.4735,0.5,0.5485
Qwen,ما الفرق بين SARL و SPA؟,True,0.8596,0.4439,0.6144,0.6,0.6469
Qwen,ما هي شروط إنشاء شركة؟,True,0.8058,0.3353,0.4409,0.2,0.5008
Qwen,كيف أكتب عقد شراكة؟,True,0.7139,0.2181,0.3913,0.3333,0.4436
Qwen,ماذا يحدث إذا انسحب شريك؟,True,0.8143,0.4889,0.6914,0.8,0.6899
Qwen,كيف يتم تقسيم الأرباح؟,True,0.7026,0.3223,0.4919,0.5,0.516
Qwen,هل يمكن بيع حصتي في الشركة؟,True,0.7014,0.4298,0.5577,0.6,0.576
Qwen,ما هي مسؤولية المدير؟,True,0.696,0.5604,0.7418,0.8,0.6801
Qwen,ماذا أفعل إذا خانني شريكي؟,True,0.5685,0.1028,0.2955,0.0,0.2889
Qwen,كيف أحمي فكرتي التجارية؟,True,0.6091,0.1517,0.3,0.2,0.3487
Qwen,هل يمكن فتح نشاط بدون سجل تجاري؟,True,0.8692,0.453,0.5294,0.8,0.666
Qwen,ما هي التزامات التاجر؟,True,0.4999,0.2899,0.3141,0.6,0.4147
Qwen,كيف يتم تسجيل شركة؟,True,0.6739,0.334,0.4887,0.0,0.4338
Qwen,ما هي الضرائب على الشركات؟,True,0.75,0.5073,0.608,0.25,0.5738
Qwen,كيف أتعامل مع زبون لم يدفع؟,True,0.8308,0.4151,0.4542,0.6,0.5961
Qwen,ما هي إجراءات الإفلاس؟,True,0.7947,0.4594,0.5628,0.4,0.5885
Qwen,هل يمكن إغلاق الشركة بسهولة؟,True,0.7188,0.3789,0.5053,0.6,0.5563
Qwen,كيف أرفع دعوى تجارية؟,True,0.7952,0.3827,0.481,0.4,0.5493
Qwen,ما الفرق بين التاجر والشركة؟,True,0.737,0.5053,0.5985,0.4,0.5893
Qwen,هل يمكن لشخص أجنبي فتح شركة؟,True,0.6545,0.1478,0.4186,0.6,0.4471
Qwen,ما هي شروط التجارة الإلكترونية؟,True,0.8368,0.288,0.4744,0.6,0.5641
Qwen,هل البيع عبر الإنترنت قانوني؟,True,0.8929,0.3455,0.567,0.5,0.6046
Qwen,كيف أتعامل مع مورد لم يحترم العقد؟,True,0.7697,0.3944,0.4791,0.2,0.5135
Qwen,ما هي الوثائق التجارية الأساسية؟,True,0.6144,0.2857,0.4752,0.6,0.4858
Qwen,كيف أحمي علامتي التجارية؟,True,0.8421,0.4516,0.6312,0.4,0.6165
Qwen,ما هي المنافسة غير المشروعة؟,True,0.6474,0.2724,0.4096,0.4,0.4502
Qwen,هل يمكن فتح شركة بدون رأس مال كبير؟,True,0.8032,0.508,0.6462,0.4,0.6228
Qwen,ما هي أنواع الشركات في الجزائر؟,True,0.7594,0.17,0.4773,0.6,0.5023
Qwen,كيف يتم حل النزاعات التجارية؟,True,0.5766,0.3298,0.414,0.6,0.4736
Qwen,هل يمكن تغيير نشاط الشركة؟,True,0.639,0.2632,0.407,0.4,0.444
Qwen,ما هي مسؤولية الشركاء؟,True,0.7824,0.3941,0.5328,0.4,0.5586
Qwen,كيف أتعامل مع ديون الشركة؟,True,0.5995,0.38,0.486,0.6,0.511
CamELBERT,هل النصب في التجارة يُعاقب عليه القانون؟,True,0.7027,0.2764,0.45,0.4,0.4789
CamELBERT,شخص باعني منتج مزور، هل هذا يعتبر جريمة؟,True,0.8573,0.219,0.3633,0.0,0.4384
CamELBERT,ما هي عقوبة الغش في بيع السلع؟,True,0.8259,0.2103,0.3777,0.4,0.4877
CamELBERT,هل يمكنني رفع شكوى ضد تاجر خدعني؟,True,0.7023,0.201,0.305,0.2,0.3971
CamELBERT,ما هي عقوبة إصدار شيك بدون رصيد؟,True,0.5818,0.3868,0.5045,0.4,0.4806
CamELBERT,هل عدم تسليم السلعة بعد الدفع يعتبر جريمة؟,True,0.8076,0.2478,0.2863,0.4,0.4743
CamELBERT,هل التزوير في الفواتير يعاقب عليه؟,True,0.7349,0.3161,0.4577,1.0,0.5936
CamELBERT,ما عقوبة سرقة معدات من محل تجاري؟,True,0.6549,0.264,0.3519,0.6,0.4688
CamELBERT,هل يمكن متابعة موظف سرق من الشركة؟,True,0.6074,0.1843,0.25,0.0,0.3179
CamELBERT,ما هي عقوبة خيانة الأمانة في التجارة؟,True,0.5303,0.3347,0.5666,0.8,0.5193
CamELBERT,هل نشر معلومات كاذبة عن شركة جريمة؟,True,0.7443,0.2729,0.3965,0.4,0.4817
CamELBERT,هل يمكن معاقبة شخص على المنافسة غير الشريفة؟,True,0.5839,0.2286,0.3651,0.2,0.376
CamELBERT,ما عقوبة التهديد في إطار العمل؟,True,0.8152,0.1832,0.3548,1.0,0.5612
CamELBERT,هل الاحتيال الإلكتروني (online scam) جريمة؟,True,0.7602,0.2883,0.3407,0.0,0.4207
CamELBERT,ما هي عقوبة انتحال صفة شركة؟,True,0.8061,0.3616,0.3494,0.2,0.4905
CamELBERT,هل استغلال أموال الشركة بشكل غير قانوني جريمة؟,True,0.7955,0.3227,0.5159,0.4,0.5384
CamELBERT,هل يمكن سجن شخص بسبب ديون تجارية؟,True,0.8622,0.2562,0.3514,0.0,0.4489
CamELBERT,ما الفرق بين النصب وخيانة الأمانة؟,True,0.7095,0.3821,0.4182,0.6,0.5366
CamELBERT,هل يمكن متابعة شريك تجاري جزائياً؟,True,0.5531,0.2037,0.2622,0.0,0.3071
CamELBERT,ما هي الجرائم المرتبطة بالإفلاس؟,True,0.7958,0.2887,0.3564,0.8,0.5564
CamELBERT,هل إخفاء الأرباح للتهرب الضريبي جريمة؟,True,0.7743,0.2718,0.367,0.2,0.456
CamELBERT,ما عقوبة تزوير العقود التجارية؟,True,0.8782,0.2794,0.4551,0.4,0.5422
CamELBERT,هل يمكن متابعة مورد لم يحترم العقد؟,True,0.6392,0.2933,0.4005,0.2,0.4218
CamELBERT,ما عقوبة بيع منتجات خطيرة أو فاسدة؟,True,0.667,0.2994,0.3452,0.2,0.4223
CamELBERT,هل يمكن تقديم شكوى ضد شركة وهمية؟,True,0.7957,0.2945,0.5164,0.2,0.5001
CamELBERT,هل العقد الشفهي ملزم قانونياً؟,True,0.7569,0.1949,0.2755,0.2,0.4085
CamELBERT,كيف يمكن فسخ عقد بين طرفين؟,True,0.8569,0.4369,0.6724,0.6,0.6555
CamELBERT,ماذا يحدث إذا لم يلتزم أحد بالعقد؟,True,0.7913,0.3992,0.48,0.4,0.5527
CamELBERT,هل يمكن المطالبة بالتعويض عن الضرر؟,True,0.7494,0.2845,0.3746,0.2,0.4525
CamELBERT,ما هي شروط صحة العقد؟,True,0.7105,0.2313,0.3547,0.4,0.449
CamELBERT,هل يمكن تعديل العقد بعد توقيعه؟,True,0.7979,0.3258,0.4131,0.75,0.5721
CamELBERT,ماذا أفعل إذا لم يدفع لي الزبون؟,True,0.721,0.3141,0.4333,0.2,0.4632
CamELBERT,هل يمكن إجبار الطرف الآخر على تنفيذ العقد؟,True,0.8189,0.2974,0.4665,0.8,0.5891
CamELBERT,ما هي المسؤولية المدنية؟,True,0.8844,0.2636,0.3942,0.0,0.4675
CamELBERT,كيف يتم حساب التعويض؟,True,0.6698,0.3811,0.4982,0.0,0.4484
CamELBERT,هل يمكن إلغاء عقد البيع؟,True,0.863,0.2652,0.3889,0.2,0.4894
CamELBERT,ما الفرق بين البطلان والفسخ؟,True,0.5275,0.3684,0.4465,0.2,0.4145
CamELBERT,هل يمكن استرجاع عربون؟,True,0.6315,0.203,0.2767,0.0,0.3373
CamELBERT,ماذا يحدث إذا تأخر التسليم؟,True,0.8896,0.3013,0.3594,0.4,0.5336
CamELBERT,هل العقد بدون توثيق قانوني صحيح؟,True,0.771,0.2829,0.5216,0.4,0.5191
CamELBERT,ما هي القوة القاهرة في العقود؟,True,0.8846,0.2279,0.3775,0.4,0.5135
CamELBERT,هل يمكن فسخ العقد بسبب الغش؟,True,0.704,0.2151,0.3248,0.0,0.3759
CamELBERT,كيف أثبت وجود اتفاق؟,True,0.8048,0.3165,0.4508,0.6,0.5568
CamELBERT,هل يمكن رفع دعوى بدون عقد مكتوب؟,True,0.6768,0.2439,0.3665,0.8,0.5034
CamELBERT,ما هي آجال التقادم في الديون؟,True,0.5138,0.3,0.4556,0.4,0.421
CamELBERT,ماذا أفعل إذا أخل المورد بالاتفاق؟,True,0.6705,0.2467,0.2597,0.2,0.3906
CamELBERT,هل يمكن تحميل المسؤولية لشخص ثالث؟,True,0.7187,0.1993,0.3734,0.2,0.416
CamELBERT,ما هي شروط التعويض عن الضرر التجاري؟,True,0.6804,0.3491,0.431,0.5,0.5041
CamELBERT,هل يمكن فسخ عقد الإيجار التجاري؟,True,0.7221,0.4961,0.6097,0.4,0.5835
CamELBERT,هل يمكن المطالبة بالفوائد على التأخير؟,True,0.8331,0.2993,0.3737,0.2,0.4861
CamELBERT,ماذا يحدث إذا توفي أحد أطراف العقد؟,True,0.7107,0.2656,0.3958,0.0,0.4076
CamELBERT,هل يمكن بيع شيء لا أملكه؟,True,0.6934,0.2906,0.422,0.4,0.4743
CamELBERT,ما هي التزامات البائع؟,True,0.8234,0.4254,0.5215,0.6,0.6101
CamELBERT,ما هي التزامات المشتري؟,True,0.7933,0.3804,0.4815,0.4,0.5481
CamELBERT,كيف أحمي نفسي قانونياً في عقد؟,True,0.8436,0.244,0.3529,0.4,0.4991
CamELBERT,كيف أقدم طعن ضد قرار إداري؟,True,0.5029,0.1463,0.23,0.4,0.3259
CamELBERT,لماذا تم رفض طلبي لفتح محل؟,True,0.9236,0.375,0.613,0.6,0.6484
CamELBERT,كيف أتحصل على رخصة تجارية؟,True,0.9348,0.4044,0.4663,0.4,0.6018
CamELBERT,ما هي الإجراءات لفتح نشاط تجاري؟,True,0.7509,0.5011,0.5316,0.4,0.5795
CamELBERT,هل يمكن الطعن في غرامة إدارية؟,True,0.747,0.416,0.5092,0.4,0.5481
CamELBERT,ما هي حقوقي مع البلدية؟,True,0.617,0.2108,0.3416,0.0,0.3475
CamELBERT,كيف أتعامل مع تعسف الإدارة؟,True,0.5446,0.2591,0.4331,0.0,0.355
CamELBERT,ما هي الوثائق المطلوبة لفتح شركة؟,True,0.7843,0.3918,0.6019,0.8,0.6324
CamELBERT,هل يمكن مقاضاة إدارة عمومية؟,True,0.8552,0.4362,0.642,0.2,0.5886
CamELBERT,كم تستغرق الإجراءات الإدارية؟,True,0.8858,0.293,0.5147,0.2,0.5309
CamELBERT,كيف أستخرج سجل تجاري؟,True,0.8946,0.478,0.5575,0.6,0.658
CamELBERT,ماذا أفعل إذا تأخرت الإدارة؟,True,0.6966,0.2175,0.2277,0.0,0.3546
CamELBERT,هل يمكن طلب تعويض من الدولة؟,True,0.6929,0.2587,0.3039,0.0,0.3809
CamELBERT,ما هي شروط ممارسة نشاط تجاري؟,True,0.6383,0.4739,0.5575,0.6,0.5671
CamELBERT,كيف أتعامل مع الضرائب المفروضة؟,True,0.5798,0.2313,0.2966,0.0,0.3317
CamELBERT,هل يمكن لصاحب العمل عدم دفع راتبي؟,True,0.7187,0.3212,0.4935,0.25,0.4841
CamELBERT,ما هي حقوق العامل في الجزائر؟,True,0.8163,0.375,0.5654,0.25,0.5488
CamELBERT,هل يمكن طردي بدون سبب؟,True,0.7495,0.3505,0.463,0.2,0.4901
CamELBERT,ما هي مدة الإشعار قبل الاستقالة؟,True,0.6766,0.3618,0.4439,0.4,0.4941
CamELBERT,هل العقد الشفهي في العمل مقبول؟,True,0.6853,0.3023,0.4255,0.4,0.4756
CamELBERT,ماذا أفعل إذا لم أحصل على عقد؟,True,0.6156,0.1376,0.1609,0.2,0.3189
CamELBERT,هل يمكن العمل بدون تصريح؟,True,0.6602,0.3002,0.3621,0.4,0.4535
CamELBERT,ما هي ساعات العمل القانونية؟,True,0.9228,0.3363,0.4708,0.75,0.6305
CamELBERT,هل يحق لي عطلة مدفوعة؟,True,0.8992,0.454,0.5647,0.8,0.6839
CamELBERT,ما هي حقوقي في حالة الفصل؟,True,0.4184,0.1751,0.2295,0.2,0.2749
CamELBERT,كيف أرفع دعوى ضد صاحب العمل؟,True,0.7777,0.2612,0.3581,0.2,0.4522
CamELBERT,هل يمكنني ترك العمل فوراً؟,True,0.6546,0.1983,0.2738,0.2,0.3734
CamELBERT,ما هي التعويضات عند الطرد؟,True,0.7045,0.245,0.2717,0.6667,0.4744
CamELBERT,هل يمكن لصاحب العمل تغيير العقد؟,True,0.8872,0.3841,0.5284,0.2,0.5614
CamELBERT,ما هي حقوق المرأة العاملة؟,True,0.7161,0.407,0.4944,0.5,0.5466
CamELBERT,هل يمكن العمل في أكثر من وظيفة؟,True,0.8219,0.2375,0.2347,0.2,0.4358
CamELBERT,ماذا يحدث في حالة إصابة عمل؟,True,0.6829,0.2289,0.3364,0.0,0.375
CamELBERT,هل يمكن خصم الراتب بدون سبب؟,True,0.712,0.3601,0.4572,0.4,0.5087
CamELBERT,ما هي حقوق العامل في القطاع الخاص؟,True,0.8856,0.3575,0.3416,0.75,0.598
CamELBERT,هل يمكن رفض العمل الإضافي؟,True,0.9293,0.3378,0.3857,0.6,0.5937
CamELBERT,كيف يتم حساب الأجر؟,True,0.674,0.3893,0.4364,0.0,0.44
CamELBERT,هل يمكن فسخ عقد العمل؟,True,0.8742,0.4565,0.6116,0.6,0.6553
CamELBERT,ما هي أنواع عقود العمل؟,True,0.7274,0.3726,0.4417,0.4,0.5147
CamELBERT,هل يمكن رفع شكوى لمفتشية العمل؟,True,0.7546,0.1505,0.2346,0.4,0.4162
CamELBERT,ماذا أفعل إذا تعرضت للظلم في العمل؟,True,0.7254,0.2386,0.3668,0.0,0.3988
CamELBERT,كيف أفتح شركة في الجزائر؟,True,0.785,0.4306,0.5,0.75,0.6164
CamELBERT,ما الفرق بين SARL و SPA؟,True,0.9111,0.3386,0.5511,0.4,0.5907
CamELBERT,ما هي شروط إنشاء شركة؟,True,0.8052,0.2869,0.3801,0.0,0.4439
CamELBERT,كيف أكتب عقد شراكة؟,True,0.714,0.2472,0.4036,0.1667,0.4298
CamELBERT,ماذا يحدث إذا انسحب شريك؟,True,0.7902,0.2426,0.3598,0.2,0.4513
CamELBERT,كيف يتم تقسيم الأرباح؟,True,0.742,0.25,0.3267,0.0,0.4001
CamELBERT,هل يمكن بيع حصتي في الشركة؟,True,0.67,0.322,0.4366,0.4,0.4784
CamELBERT,ما هي مسؤولية المدير؟,True,0.8185,0.4618,0.529,0.8,0.6508
CamELBERT,ماذا أفعل إذا خانني شريكي؟,True,0.8644,0.2253,0.3434,0.2,0.4688
CamELBERT,كيف أحمي فكرتي التجارية؟,True,0.8052,0.2829,0.2967,0.2,0.456
CamELBERT,هل يمكن فتح نشاط بدون سجل تجاري؟,True,0.9157,0.4509,0.561,0.6,0.658
CamELBERT,ما هي التزامات التاجر؟,True,0.8012,0.3013,0.3841,0.8,0.5676
CamELBERT,كيف يتم تسجيل شركة؟,True,0.7676,0.3312,0.3805,0.0,0.4441
CamELBERT,ما هي الضرائب على الشركات؟,True,0.6946,0.4758,0.5102,0.5,0.5629
CamELBERT,كيف أتعامل مع زبون لم يدفع؟,True,0.7716,0.2773,0.341,0.0,0.4215
CamELBERT,ما هي إجراءات الإفلاس؟,True,0.4394,0.1527,0.3068,0.0,0.2609
CamELBERT,هل يمكن إغلاق الشركة بسهولة؟,True,0.8121,0.3643,0.4484,0.6,0.5732
CamELBERT,كيف أرفع دعوى تجارية؟,True,0.8297,0.3291,0.4404,0.2,0.5072
CamELBERT,ما الفرق بين التاجر والشركة؟,True,0.8002,0.3473,0.4731,0.8,0.5989
CamELBERT,هل يمكن لشخص أجنبي فتح شركة؟,True,0.8311,0.2998,0.4214,0.6,0.5551
CamELBERT,ما هي شروط التجارة الإلكترونية؟,True,0.8775,0.4371,0.6188,0.6,0.652
CamELBERT,هل البيع عبر الإنترنت قانوني؟,True,0.8947,0.409,0.4596,0.5,0.6028
CamELBERT,كيف أتعامل مع مورد لم يحترم العقد؟,True,0.8171,0.2982,0.3649,0.2,0.4784
CamELBERT,ما هي الوثائق التجارية الأساسية؟,True,0.7149,0.3114,0.5123,0.4,0.5061
CamELBERT,كيف أحمي علامتي التجارية؟,True,0.8301,0.3081,0.3618,0.2,0.4853
CamELBERT,ما هي المنافسة غير المشروعة؟,True,0.8397,0.2543,0.3734,0.2,0.4749
CamELBERT,هل يمكن فتح شركة بدون رأس مال كبير؟,True,0.7554,0.2748,0.4604,0.6,0.5289
CamELBERT,ما هي أنواع الشركات في الجزائر؟,True,0.6857,0.4031,0.5543,0.6,0.5618
CamELBERT,كيف يتم حل النزاعات التجارية؟,True,0.6754,0.2817,0.3602,0.4,0.4529
CamELBERT,هل يمكن تغيير نشاط الشركة؟,True,0.8107,0.3288,0.4428,0.4,0.5309
CamELBERT,ما هي مسؤولية الشركاء؟,True,0.8253,0.3254,0.4063,0.4,0.5277
CamELBERT,كيف أتعامل مع ديون الشركة؟,True,0.8697,0.3667,0.4227,0.6,0.589
