question,expected_articles,retrieved_articles,matched_count,total_expected,is_hit,recall_at_30,rank_of_first_hit,reciprocal_rank,precision_at_1
ما هي شروط صحة العقد؟,القانون المدني - المادة 260 | القانون المدني - المادة 84 | القانون المدني - المادة 324 مكرر 7 | القانون المدني - المادة 59 | القانون التجاري - المادة 30,القانون المدني - المادة 59 | القانون المدني - المادة 71 | القانون التجاري - المادة 545 | القانون المدني - المادة 40 | القانون المدني - المادة 288 | القانون المدني - المادة 260 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | القانون المدني - المادة 324 مكرر 6 | القانون المدني - المادة 84 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | قانون 90-11 المتعلق بعلاقات العمل - المادة 8 | القانون المدني - المادة 60 | القانون المدني - المادة 72 | القانون المدني - المادة 54 | القانون المدني - المادة 120 | القانون المدني - المادة 418 | القانون التجاري - المادة 472 | القانون المدني - المادة 119 | القانون المدني - المادة 105 | القانون المدني - المادة 297 | القانون المدني - المادة 324 مكرر 5 | القانون التجاري - المادة 30 | قانون 90-11 المتعلق بعلاقات العمل - المادة 10 | القانون التجاري - المادة 80 | القانون المدني - المادة 198 | القانون المدني - المادة 70 | القانون التجاري - المادة 545 | القانون التجاري - المادة 95 | القانون التجاري - المادة 79 | القانون المدني - المادة 324 مكرر 7,5,5,True,1.0,1,1.0,1
هل يمكن تعديل العقد بعد توقيعه؟,القانون المدني - المادة 418 | القانون المدني - المادة 324 مكرر 2 | القانون المدني - المادة 65 | القانون التجاري - المادة 586 | القانون المدني - المادة 324 مكرر 6,القانون المدني - المادة 418 | القانون المدني - المادة 482 | القانون المدني - المادة 377 | القانون المدني - المادة 54 | القانون المدني - المادة 384 | قانون 90-11 المتعلق بعلاقات العمل - المادة 12 | القانون المدني - المادة 119 | قانون 90-11 المتعلق بعلاقات العمل - المادة 8 | القانون المدني - المادة 65 | القانون المدني - المادة 324 | القانون المدني - المادة 324 مكرر 6 | القانون المدني - المادة 120 | القانون التجاري - المادة 187 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | قانون العقوبات - المادة 215 | القانون التجاري - المادة 26 | القانون المدني - المادة 71 | القانون المدني - المادة 326 مكرر 1 | قانون العقوبات - المادة 370 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | القانون التجاري - المادة 187 | القانون المدني - المادة 81 | قانون العقوبات - المادة 381 | القانون التجاري - المادة 586 | القانون المدني - المادة 102 | القانون التجاري - المادة 526 | القانون المدني - المادة 366 | القانون المدني - المادة 84 | قانون رقم 90-11 يتعلق بعلاقات العمل - المادة 8 | قانون الاجراءات المدنية والادارية - المادة 297,4,5,True,0.8,1,1.0,1
ماذا أفعل إذا لم يدفع لي الزبون؟,القانون التجاري - المادة 33 | القانون التجاري - المادة 215 | القانون المدني - المادة 195 | قانون العقوبات - المادة 366 | القانون التجاري - المادة 112,قانون العقوبات - المادة 366 | القانون التجاري - المادة 33 | القانون المدني - المادة 421 | القانون المدني - المادة 195 | القانون المدني - المادة 182 | القانون المدني - المادة 363 | القانون المدني - المادة 278 | القانون المدني - المادة 387 | القانون المدني - المادة 186 | القانون المدني - المادة 447 | القانون المدني - المادة 839 | قانون العقوبات - المادة 367 | القانون المدني - المادة 170 | القانون المدني - المادة 275 | القانون المدني - المادة 392 | القانون المدني - المادة 176 | قانون الاجراءات المدنية والادارية - المادة 309 | القانون المدني - المادة 424 | القانون المدني - المادة 502 | القانون المدني - المادة 181 | القانون المدني - المادة 498 | القانون المدني - المادة 259 | القانون المدني - المادة 119 | قانون الاجراءات المدنية والادارية - المادة 291 | القانون التجاري - المادة 215 | القانون المدني - المادة 388 | قانون العقوبات - المادة 380 | قانون الاجراءات المدنية والادارية - المادة 51 | القانون المدني - المادة 184 | قانون الاجراءات المدنية والادارية - المادة 68,4,5,True,0.8,1,1.0,1
هل يمكن إجبار الطرف الآخر على تنفيذ العقد؟,القانون المدني - المادة 119 | القانون المدني - المادة 85 | القانون المدني - المادة 72 | القانون المدني - المادة 56 | القانون المدني - المادة 324 مكرر 6,القانون المدني - المادة 119 | القانون المدني - المادة 72 | القانون المدني - المادة 169 | القانون المدني - المادة 170 | القانون المدني - المادة 174 | القانون المدني - المادة 324 مكرر 6 | القانون المدني - المادة 178 | القانون المدني - المادة 55 | القانون المدني - المادة 56 | القانون المدني - المادة 176 | القانون المدني - المادة 164 | القانون المدني - المادة 54 | القانون المدني - المادة 59 | القانون المدني - المادة 58 | القانون المدني - المادة 166 | القانون المدني - المادة 71 | القانون التجاري - المادة 572 | قانون العقوبات - المادة 35 | القانون المدني - المادة 277 | القانون المدني - المادة 361 | القانون المدني - المادة 208 | قانون 90-11 المتعلق بعلاقات العمل - المادة 8 | القانون المدني - المادة 85 | القانون المدني - المادة 575 | القانون المدني - المادة 259 | القانون المدني - المادة 206 | قانون العقوبات - المادة 48 | القانون المدني - المادة 60 | القانون المدني - المادة 192 | القانون المدني - المادة 287,5,5,True,1.0,1,1.0,1
ما هي المسؤولية المدنية؟,القانون المدني - المادة 138 | القانون المدني - المادة 178 | القانون المدني - المادة 124 | القانون المدني - المادة 126 | القانون التجاري - المادة 564,القانون المدني - المادة 178 | القانون المدني - المادة 124 | القانون المدني - المادة 231 | القانون المدني - المادة 135 | القانون المدني - المادة 126 | القانون المدني - المادة 129 | القانون المدني - المادة 134 | القانون المدني - المادة 424 | القانون المدني - المادة 128 | القانون المدني - المادة 140 مكرر 1 | القانون المدني - المادة 20 | القانون المدني - المادة 127 | القانون المدني - المادة 138 | القانون المدني - المادة 172 | القانون المدني - المادة 435 | القانون المدني - المادة 125 | القانون المدني - المادة 434 | القانون المدني - المادة 177 | قانون العقوبات - المادة 51 | القانون المدني - المادة 270 | القانون المدني - المادة 182 مكرر | قانون الإجراءات المدنية والإدارية - المادة 800 | القانون التجاري - المادة 776 | القانون المدني - المادة 843 | القانون المدني - المادة 133 | القانون المدني - المادة 307 | القانون المدني - المادة 686 | قانون العقوبات - المادة 48 | القانون المدني - المادة 755 | القانون التجاري - المادة 564,5,5,True,1.0,1,1.0,1
كيف يتم حساب التعويض؟,قانون العمل الجزاىري - المادة None | القانون المدني - المادة 132 | القانون المدني - المادة 131 | القانون المدني - المادة 182,قانون العمل الجزاىري - المادة None | القانون المدني - المادة 182 | القانون المدني - المادة 132 | القانون المدني - المادة 131 | القانون المدني - المادة 182 مكرر | القانون المدني - المادة 756 مكرر | القانون المدني - المادة 701 | القانون المدني - المادة 183 | قانون 90-11 المتعلق بعلاقات العمل - المادة 73-4 | القانون المدني - المادة 186 | القانون المدني - المادة 184 | القانون المدني - المادة 185 | القانون المدني - المادة 787 | القانون المدني - المادة 421 | قانون العمل الجزاىري - المادة None | القانون المدني - المادة 140 مكرر 1 | القانون المدني - المادة 175 | القانون المدني - المادة 731 | القانون المدني - المادة 700 | القانون المدني - المادة 399 | القانون المدني - المادة 179 | القانون المدني - المادة 270 | القانون المدني - المادة 502 | القانون المدني - المادة 177 | القانون المدني - المادة 480 | قانون الاجراءات المدنية والادارية - المادة 405 | قانون الاجراءات المدنية والادارية - المادة 234 | قانون العمل الجزاىري - المادة None | القانون المدني - المادة 842 | القانون المدني - المادة 133,4,4,True,1.0,1,1.0,1
هل يمكن إلغاء عقد البيع؟,القانون المدني - المادة 365 | القانون التجاري - المادة 109 | القانون التجاري - المادة 112 | القانون التجاري - المادة 116 | القانون المدني - المادة 352,القانون المدني - المادة 119 | القانون التجاري - المادة 112 | القانون التجاري - المادة 116 | القانون المدني - المادة 102 | القانون المدني - المادة 120 | القانون التجاري - المادة 79 | القانون التجاري - المادة 109 | القانون التجاري - المادة 34 | القانون المدني - المادة 81 | القانون المدني - المادة 397 | القانون المدني - المادة 352 | القانون المدني - المادة 399 | القانون التجاري - المادة 97 | القانون المدني - المادة 370 | القانون المدني - المادة 408 | القانون المدني - المادة 351 | القانون التجاري - المادة 113 | القانون التجاري - المادة 94 | قانون 90-11 المتعلق بعلاقات العمل - المادة 12 | القانون المدني - المادة 400 | القانون المدني - المادة 366 | القانون المدني - المادة 2 | القانون المدني - المادة 418 | القانون المدني - المادة 412 | القانون المدني - المادة 99 | القانون التجاري - المادة 187 | القانون المدني - المادة 207 | القانون التجاري - المادة 33 | القانون المدني - المادة 392 | القانون المدني - المادة 396,4,5,True,0.8,2,0.5,0
ما الفرق بين البطلان والفسخ؟,القانون التجاري - المادة 100 | القانون المدني - المادة 324 مكرر 1 | القانون المدني - المادة 102 | القانون المدني - المادة 104 | القانون المدني - المادة 418,القانون المدني - المادة 102 | القانون المدني - المادة 103 | القانون المدني - المادة 120 | القانون المدني - المادة 119 | القانون المدني - المادة 104 | القانون المدني - المادة 99 | القانون التجاري - المادة 112 | القانون المدني - المادة 72 مكرر | القانون المدني - المادة 83 | القانون المدني - المادة 418 | القانون التجاري - المادة 116 | القانون المدني - المادة 81 | قانون الاجراءات المدنية والادارية - المادة 222 | القانون المدني - المادة 207 | القانون التجاري - المادة 111 | قانون الاجراءات المدنية والادارية - المادة 216 | القانون المدني - المادة 212 | القانون التجاري - المادة 100 | القانون التجاري - المادة 110 | القانون التجاري - المادة 109 | القانون المدني - المادة 442 | قانون الاجراءات المدنية والادارية - المادة 221 | القانون المدني - المادة 288 | القانون المدني - المادة 370 | القانون المدني - المادة 366 | القانون التجاري - المادة 97 | قانون الاجراءات المدنية والادارية - المادة 350 | قانون الاجراءات المدنية والادارية - المادة 219 | القانون المدني - المادة 324 مكرر 1 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11,5,5,True,1.0,1,1.0,1
هل يمكن استرجاع عربون؟,القانون المدني - المادة 72 مكرر | القانون المدني - المادة 836 | القانون المدني - المادة 818 | القانون المدني - المادة 503 | القانون المدني - المادة 840,القانون المدني - المادة 836 | قانون العقوبات - المادة 361 | القانون المدني - المادة 817 | القانون المدني - المادة 840 | قانون العقوبات - المادة 382 | قانون 90-11 المتعلق بعلاقات العمل - المادة 73-4 | القانون المدني - المادة 679 | القانون المدني - المادة 534 | القانون المدني - المادة 756 مكرر 1 | قانون العقوبات - المادة 25 | قانون العقوبات - المادة 354 | القانون المدني - المادة 369 | القانون التجاري - المادة 110 | القانون المدني - المادة 701 | القانون المدني - المادة 700 | القانون المدني - المادة 516 | قانون العقوبات - المادة 369 | القانون المدني - المادة 681 مكرر 1 | القانون المدني - المادة 484 | القانون التجاري - المادة 588 | القانون المدني - المادة 859 | القانون التجاري - المادة 33 | القانون المدني - المادة 683 | قانون العقوبات - المادة 370 | القانون المدني - المادة 804 | القانون التجاري - المادة 570 | قانون الاجراءات المدنية والادارية - المادة 357 | قانون 90-11 المتعلق بعلاقات العمل - المادة 88 | قانون الاجراءات المدنية والادارية - المادة 217 | قانون الاجراءات المدنية والادارية - المادة 352,2,5,True,0.4,1,1.0,1
ماذا يحدث إذا تأخر التسليم؟,القانون المدني - المادة 168 | القانون المدني - المادة 176 | القانون التجاري - المادة 33 | القانون المدني - المادة 394 | القانون المدني - المادة 363,القانون المدني - المادة 168 | القانون التجاري - المادة 33 | القانون المدني - المادة 394 | القانون المدني - المادة 176 | القانون المدني - المادة 849 | القانون المدني - المادة 186 | قانون الاجراءات المدنية والادارية - المادة 309 | القانون المدني - المادة 421 | قانون العقوبات - المادة 223 | القانون المدني - المادة 424 | قانون الاجراءات المدنية والادارية - المادة 302 | قانون العقوبات - المادة 382 | قانون الإجراءات المدنية والإدارية - المادة 807 | قانون العقوبات - المادة 366 | القانون المدني - المادة 262 | القانون التجاري - المادة 338 | القانون المدني - المادة 364 | قانون الاجراءات المدنية والادارية - المادة 301 | القانون المدني - المادة 369 | القانون المدني - المادة 297 | القانون المدني - المادة 387 | قانون الاجراءات المدنية والادارية - المادة 291 | القانون المدني - المادة 64 | القانون المدني - المادة 192 | القانون المدني - المادة 270 | قانون الاجراءات المدنية والادارية - المادة 68 | القانون المدني - المادة 195 | قانون الاجراءات المدنية والادارية - المادة 232 | القانون المدني - المادة 821 | القانون المدني - المادة 68,4,5,True,0.8,1,1.0,1
هل العقد بدون توثيق قانوني صحيح؟,قانون 90-11 المتعلق بعلاقات العمل - المادة 10 | القانون التجاري - المادة 545 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | القانون المدني - المادة 59 | القانون المدني - المادة 326 مكرر 1,القانون التجاري - المادة 545 | قانون 90-11 المتعلق بعلاقات العمل - المادة 10 | القانون المدني - المادة 59 | القانون المدني - المادة 324 | القانون المدني - المادة 324 مكرر 6 | القانون التجاري - المادة 545 | القانون المدني - المادة 40 | القانون المدني - المادة 120 | القانون المدني - المادة 326 مكرر 2 | القانون المدني - المادة 324 مكرر 5 | القانون المدني - المادة 326 مكرر 1 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | القانون المدني - المادة 84 | القانون التجاري - المادة 24 | القانون التجاري - المادة 187 | قانون العقوبات - المادة 433 | القانون المدني - المادة 54 | القانون المدني - المادة 105 | القانون المدني - المادة 102 | القانون المدني - المادة 119 | قانون العقوبات - المادة 208 | القانون التجاري - المادة 187 | قانون العقوبات - المادة 370 | القانون المدني - المادة 324 مكرر 7 | القانون التجاري - المادة 595 | القانون التجاري - المادة 79 | القانون المدني - المادة 60 | القانون التجاري - المادة 28 | القانون المدني - المادة 69 | القانون المدني - المادة 199,5,5,True,1.0,1,1.0,1
ما هي القوة القاهرة في العقود؟,القانون المدني - المادة 178 | القانون المدني - المادة 127 | القانون المدني - المادة 138 | قانون العقوبات - المادة 370 | القانون المدني - المادة 338,القانون المدني - المادة 178 | قانون العقوبات - المادة 370 | قانون 90-11 المتعلق بعلاقات العمل - المادة 8 | القانون المدني - المادة 338 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | القانون المدني - المادة 324 مكرر 4 | القانون المدني - المادة 103 | القانون المدني - المادة 127 | القانون المدني - المادة 59 | القانون المدني - المادة 119 | القانون التجاري - المادة 603 | القانون المدني - المادة 58 | القانون المدني - المادة 120 | قانون العقوبات - المادة 48 | القانون المدني - المادة 18 | القانون المدني - المادة 198 | القانون التجاري - المادة 187 | القانون المدني - المادة 307 | قانون الاجراءات المدنية والادارية - المادة 32 | القانون المدني - المادة 102 | قانون الاجراءات المدنية والادارية - المادة 64 | القانون التجاري - المادة 572 | قانون العقوبات - المادة 40 | القانون المدني - المادة 99 | القانون المدني - المادة 319 | القانون المدني - المادة 81 | قانون 90-11 المتعلق بعلاقات العمل - المادة 10 | القانون المدني - المادة 681 | القانون المدني - المادة 324 مكرر 7 | قانون العقوبات - المادة 197,4,5,True,0.8,1,1.0,1
هل يمكن فسخ العقد بسبب الغش؟,القانون المدني - المادة 101 | القانون المدني - المادة 83 | القانون المدني - المادة 490 | القانون المدني - المادة 81 | القانون المدني - المادة 120,القانون المدني - المادة 81 | القانون المدني - المادة 119 | القانون المدني - المادة 120 | القانون المدني - المادة 83 | القانون المدني - المادة 510 | القانون المدني - المادة 103 | القانون المدني - المادة 365 | القانون التجاري - المادة 112 | القانون المدني - المادة 482 | القانون المدني - المادة 441 | القانون المدني - المادة 490 | القانون المدني - المادة 102 | القانون المدني - المادة 480 | القانون المدني - المادة 72 مكرر | القانون المدني - المادة 489 | القانون المدني - المادة 100 | القانون المدني - المادة 481 | القانون المدني - المادة 486 | القانون المدني - المادة 352 | قانون 90-11 المتعلق بعلاقات العمل - المادة 12 | القانون المدني - المادة 324 مكرر 6 | قانون العمل الجزاىري - المادة 20 | القانون المدني - المادة 84 | القانون المدني - المادة 207 | القانون المدني - المادة 363 | القانون المدني - المادة 370 | القانون التجاري - المادة 34 | قانون الاجراءات المدنية والادارية - المادة 64 | القانون المدني - المادة 366 | القانون المدني - المادة 185,4,5,True,0.8,1,1.0,1
كيف أثبت وجود اتفاق؟,القانون المدني - المادة 127 | القانون التجاري - المادة 30 | القانون التجاري - المادة 545 | القانون المدني - المادة 333 | القانون المدني - المادة 184,القانون التجاري - المادة 30 | قانون 90-11 المتعلق بعلاقات العمل - المادة 10 | القانون التجاري - المادة 545 | القانون التجاري - المادة 572 | القانون التجاري - المادة 606 | القانون التجاري - المادة 545 | القانون التجاري - المادة 599 | القانون المدني - المادة 59 | القانون المدني - المادة 335 | القانون المدني - المادة 323 مكرر | القانون المدني - المادة 334 | قانون العقوبات - المادة 370 | القانون المدني - المادة 332 | القانون المدني - المادة 336 | القانون المدني - المادة 199 | قانون 90-11 المتعلق بعلاقات العمل - المادة 8 | القانون المدني - المادة 193 | القانون المدني - المادة 830 | القانون المدني - المادة 499 | القانون التجاري - المادة 31 | القانون التجاري - المادة 24 | القانون التجاري - المادة 38 | القانون المدني - المادة 329 | قانون الاجراءات المدنية والادارية - المادة 415 | القانون المدني - المادة 61 | قانون العقوبات - المادة 381 | القانون المدني - المادة 324 مكرر 7 | القانون المدني - المادة 184 | القانون المدني - المادة 801 | القانون المدني - المادة 346,3,5,True,0.6,1,1.0,1
هل يمكن رفع دعوى بدون عقد مكتوب؟,قانون الاجراءات المدنية والادارية - المادة 14 | القانون المدني - المادة 418 | القانون التجاري - المادة 109 | القانون التجاري - المادة 94 | القانون المدني - المادة 324 مكرر 6,قانون الاجراءات المدنية والادارية - المادة 14 | قانون 90-11 المتعلق بعلاقات العمل - المادة 10 | قانون 90-11 المتعلق بعلاقات العمل - المادة 8 | قانون الاجراءات المدنية والادارية - المادة 13 | القانون المدني - المادة 60 | القانون المدني - المادة 418 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | القانون التجاري - المادة 580 | قانون رقم 90-11 يتعلق بعلاقات العمل - المادة 8 | القانون التجاري - المادة 109 | قانون 90-11 المتعلق بعلاقات العمل - المادة 11 | القانون التجاري - المادة 94 | القانون التجاري - المادة 91 | القانون المدني - المادة 317 | قانون الاجراءات المدنية والادارية - المادة 330 | قانون الإجراءات المدنية والإدارية - المادة 829 | القانون التجاري - المادة 216 | قانون العقوبات - المادة 370 | قانون الاجراءات المدنية والادارية - المادة 415 | القانون التجاري - المادة 24 | قانون الاجراءات المدنية والادارية - المادة 299 | قانون الاجراءات المدنية والادارية - المادة 406 | القانون المدني - المادة 102 | القانون المدني - المادة 801 | القانون المدني - المادة 324 مكرر 7 | القانون التجاري - المادة 572 | القانون المدني - المادة 324 مكرر 6 | القانون المدني - المادة 326 مكرر 2 | قانون الاجراءات المدنية والادارية - المادة 310 | قانون الاجراءات المدنية والادارية - المادة 357,5,5,True,1.0,1,1.0,1
ما هي آجال التقادم في الديون؟,القانون المدني - المادة 309 | القانون المدني - المادة 319 | القانون المدني - المادة 313 | القانون المدني - المادة 316 | القانون المدني - المادة 315,القانون المدني - المادة 309 | القانون المدني - المادة 315 | القانون المدني - المادة 311 | القانون المدني - المادة 281 | القانون المدني - المادة 230 | القانون المدني - المادة 321 | القانون المدني - المادة 313 | القانون المدني - المادة 447 | القانون المدني - المادة 322 | القانون المدني - المادة 828 | القانون المدني - المادة 319 | القانون المدني - المادة 316 | القانون المدني - المادة 829 | القانون المدني - المادة 308 | القانون المدني - المادة 320 | القانون المدني - المادة 301 | القانون المدني - المادة 210 | القانون المدني - المادة 186 | القانون المدني - المادة 7 | القانون المدني - المادة 424 | القانون المدني - المادة 827 | القانون التجاري - المادة 724 | القانون المدني - المادة 832 | القانون المدني - المادة 279 | القانون المدني - المادة 101 | القانون المدني - المادة 318 | القانون المدني - المادة 278 | القانون المدني - المادة 270 | القانون المدني - المادة 359 | القانون المدني - المادة 831,5,5,True,1.0,1,1.0,1
ماذا أفعل إذا أخل المورد بالاتفاق؟,القانون المدني - المادة 365 | القانون المدني - المادة 103 | القانون المدني - المادة 377 | القانون المدني - المادة 284 | قانون العقوبات - المادة 175,القانون المدني - المادة 65 | قانون العقوبات - المادة 175 | القانون المدني - المادة 103 | القانون المدني - المادة 119 | القانون المدني - المادة 262 | القانون المدني - المادة 192 | القانون المدني - المادة 372 | قانون الاجراءات المدنية والادارية - المادة 291 | القانون المدني - المادة 365 | قانون الاجراءات المدنية والادارية - المادة 232 | قانون الاجراءات المدنية والادارية - المادة 338 | قانون العقوبات - المادة 382 | القانون المدني - المادة 184 | القانون المدني - المادة 64 | القانون المدني - المادة 78 | القانون المدني - المادة 187 | قانون الاجراءات المدنية والادارية - المادة 234 | القانون المدني - المادة 791 | القانون المدني - المادة 277 | القانون المدني - المادة 259 | قانون الاجراءات المدنية والادارية - المادة 64 | القانون المدني - المادة 181 | القانون المدني - المادة 366 | القانون التجاري - المادة 338 | القانون المدني - المادة 68 | قانون 90-11 المتعلق بعلاقات العمل - المادة 10 | القانون المدني - المادة 387 | القانون المدني - المادة 368 | قانون الاجراءات المدنية والادارية - المادة 415 | القانون المدني - المادة 207,3,5,True,0.6,2,0.5,0
هل يمكن تحميل المسؤولية لشخص ثالث؟,القانون المدني - المادة 580 | القانون المدني - المادة 134 | القانون المدني - المادة 138 | القانون المدني - المادة 129 | القانون التجاري - المادة 776,القانون المدني - المادة 134 | القانون المدني - المادة 424 | القانون المدني - المادة 178 | القانون المدني - المادة 215 | القانون المدني - المادة 231 | القانون المدني - المادة 129 | القانون المدني - المادة 127 | القانون المدني - المادة 138 | القانون المدني - المادة 140 مكرر 1 | القانون التجاري - المادة 578 | القانون المدني - المادة 124 | القانون التجاري - المادة 776 | القانون المدني - المادة 268 | القانون المدني - المادة 126 | القانون المدني - المادة 434 | قانون العقوبات - المادة 48 | القانون المدني - المادة 583 | قانون العقوبات - المادة 45 | القانون المدني - المادة 435 | القانون التجاري - المادة 93 | القانون المدني - المادة 849 | قانون العقوبات - المادة 49 | القانون المدني - المادة 259 | القانون المدني - المادة 842 | القانون المدني - المادة 128 | القانون المدني - المادة 270 | القانون المدني - المادة 229 | القانون التجاري - المادة 564 | القانون المدني - المادة 265 | القانون المدني - المادة 850,4,5,True,0.8,1,1.0,1
ما هي شروط التعويض عن الضرر التجاري؟,القانون المدني - المادة 182 | القانون المدني - المادة 182 مكرر | القانون المدني - المادة 131 | القانون المدني - المادة 132 | القانون المدني - المادة 185,القانون المدني - المادة 182 مكرر | القانون المدني - المادة 756 مكرر | القانون المدني - المادة 182 | القانون التجاري - المادة 176 | القانون المدني - المادة 131 | القانون المدني - المادة 376 | القانون المدني - المادة 701 | القانون المدني - المادة 399 | قانون العقوبات - المادة 432 | القانون المدني - المادة 140 مكرر 1 | القانون المدني - المادة 132 | القانون المدني - المادة 103 | القانون المدني - المادة 185 | القانون المدني - المادة 186 | قانون 90-11 المتعلق بعلاقات العمل - المادة 73-4 | القانون المدني - المادة 375 | قانون العقوبات - المادة 383 | القانون التجاري - المادة 30 | القانون المدني - المادة 119 | القانون المدني - المادة 184 | القانون المدني - المادة 183 | القانون المدني - المادة 270 | القانون المدني - المادة 421 | القانون المدني - المادة 677 | القانون المدني - المادة 487 | القانون المدني - المادة 504 | القانون المدني - المادة 128 | القانون المدني - المادة 140 مكرر | القانون المدني - المادة 700 | القانون التجاري - المادة 100,5,5,True,1.0,1,1.0,1
هل يمكن فسخ عقد الإيجار التجاري؟,القانون التجاري - المادة 34 | القانون المدني - المادة 480 | القانون المدني - المادة 510 | القانون المدني - المادة 486 | القانون المدني - المادة 482,القانون المدني - المادة 510 | القانون المدني - المادة 482 | القانون المدني - المادة 481 | القانون التجاري - المادة 187 | القانون المدني - المادة 480 | القانون التجاري - المادة 34 | القانون المدني - المادة 486 | القانون المدني - المادة 489 | القانون التجاري - المادة 173 | القانون المدني - المادة 119 | القانون التجاري - المادة 112 | القانون المدني - المادة 469 مكرر 2 | القانون التجاري - المادة 169 | القانون التجاري - المادة 172 | القانون التجاري - المادة 176 | القانون التجاري - المادة 109 | القانون المدني - المادة 469 مكرر 1 | القانون المدني - المادة 120 | القانون المدني - المادة 513 | القانون المدني - المادة 467 | القانون التجاري - المادة 116 | القانون التجاري - المادة 79 | القانون المدني - المادة 505 | القانون المدني - المادة 363 | القانون المدني - المادة 469 مكرر | القانون المدني - المادة 365 | القانون المدني - المادة 509 | القانون المدني - المادة 469 | القانون المدني - المادة 102 | القانون المدني - المادة 484,5,5,True,1.0,1,1.0,1
هل يمكن المطالبة بالفوائد على التأخير؟,القانون المدني - المادة 317 | القانون التجاري - المادة 588 | القانون المدني - المادة 501 | القانون المدني - المادة 311 | القانون المدني - المادة 321,القانون المدني - المادة 186 | القانون المدني - المادة 321 | قانون الاجراءات المدنية والادارية - المادة 302 | قانون الاجراءات المدنية والادارية - المادة 215 | القانون المدني - المادة 311 | قانون الاجراءات المدنية والادارية - المادة 214 | القانون المدني - المادة 187 | قانون الاجراءات المدنية والادارية - المادة 59 | قانون الاجراءات المدنية والادارية - المادة 305 | القانون المدني - المادة 168 | القانون المدني - المادة 219 | قانون الاجراءات المدنية والادارية - المادة 232 | القانون المدني - المادة 501 | القانون المدني - المادة 316 | القانون التجاري - المادة 588 | القانون التجاري - المادة 91 | قانون الاجراءات المدنية والادارية - المادة 312 | قانون الإجراءات المدنية والإدارية - المادة 829 | قانون الاجراءات المدنية والادارية - المادة 68 | القانون المدني - المادة 679 | القانون المدني - المادة 317 | القانون المدني - المادة 817 | القانون المدني - المادة 376 | قانون الاجراءات المدنية والادارية - المادة 13 | القانون المدني - المادة 270 | قانون الاجراءات المدنية والادارية - المادة 357 | القانون المدني - المادة 700 | القانون المدني - المادة 484 | قانون الاجراءات المدنية والادارية - المادة 299 | قانون الاجراءات المدنية والادارية - المادة 62,5,5,True,1.0,2,0.5,0
ماذا يحدث إذا توفي أحد أطراف العقد؟,القانون المدني - المادة 439 | القانون المدني - المادة 469 مكرر 2 | القانون المدني - المادة 328 | القانون المدني - المادة 510 | القانون المدني - المادة 103,القانون المدني - المادة 439 | القانون المدني - المادة 62 | القانون المدني - المادة 119 | القانون المدني - المادة 57 | القانون المدني - المادة 59 | القانون المدني - المادة 426 | القانون المدني - المادة 54 | قانون الاجراءات المدنية والادارية - المادة 220 | القانون المدني - المادة 227 | القانون المدني - المادة 776 | قانون الاجراءات المدنية والادارية - المادة 210 | القانون المدني - المادة 58 | قانون رقم 90-11 يتعلق بعلاقات العمل - المادة 8 | القانون المدني - المادة 232 | القانون المدني - المادة 221 | القانون المدني - المادة 218 | القانون المدني - المادة 435 | القانون المدني - المادة 69 | القانون المدني - المادة 408 | القانون المدني - المادة 222 | القانون المدني - المادة 791 | قانون العقوبات - المادة 226 | القانون المدني - المادة 387 | قانون الاجراءات المدنية والادارية - المادة 54 | القانون المدني - المادة 228 | القانون المدني - المادة 700 | القانون المدني - المادة 440 | قانون الاجراءات المدنية والادارية - المادة 338 | القانون المدني - المادة 234 | القانون المدني - المادة 366,1,5,True,0.2,1,1.0,1
هل يمكن بيع شيء لا أملكه؟,القانون المدني - المادة 397 | القانون المدني - المادة 369 | القانون المدني - المادة 683 | القانون المدني - المادة 406 | القانون المدني - المادة 272,القانون المدني - المادة 272 | القانون المدني - المادة 397 | القانون التجاري - المادة 33 | القانون المدني - المادة 408 | القانون المدني - المادة 798 | القانون المدني - المادة 201 | القانون المدني - المادة 446 | القانون المدني - المادة 399 | القانون المدني - المادة 405 | القانون المدني - المادة 411 | القانون المدني - المادة 369 | القانون المدني - المادة 728 | القانون المدني - المادة 404 | القانون المدني - المادة 797 | القانون المدني - المادة 747 | القانون المدني - المادة 400 | القانون المدني - المادة 406 | القانون المدني - المادة 409 | القانون المدني - المادة 392 | القانون التجاري - المادة 89 | القانون التجاري - المادة 97 | القانون المدني - المادة 398 | القانون المدني - المادة 573 | القانون التجاري - المادة 79 | القانون المدني - المادة 358 | القانون المدني - المادة 721 | القانون المدني - المادة 353 | القانون التجاري - المادة 6 | القانون التجاري - المادة 94 | القانون التجاري - المادة 86,4,5,True,0.8,1,1.0,1
